Geneid,Feature,Coefficient
CXCL10,ITGAV,0.012237840317296165
CXCL10,LTBP1,0.011023677134257389
CXCL10,MKI67,0.01849508356876715
CXCL10,MMP7,-0.0008747390316845991
CXCL10,POLR2A,-0.004781030270357808
CXCL10,RPL7A,0.003364943205080127
CXCL10,S100A9,-0.012976146623603559
CXCL10,SPP1,0.003366343492616397
CXCL10,STAT1,-0.015960675759814028
CXCL10,THBS1,0.005097290834004117
CXCL10,VCAN,0.006427360012071279
CXCL11,MKI67,0.00174710128827417
CXCL11,THBS1,0.0005260747936821559
CXCL11,VCAN,0.00022920778261288432
CXCL12,A2M,0.0022005904778298548
CXCL12,B2M,0.0029812954172983397
CXCL12,CD74,-0.0017262820245934538
CXCL12,COL11A1,-0.0020213695643360773
CXCL12,EGR1,3.892056420563076e-05
CXCL12,FGFR1,-0.0011573941478614297
CXCL12,SPP1,-0.0005083224288598093
CXCL12,THBS1,0.00073972962436148
CXCL13,APOE,-0.0008649673521545702
CXCL13,B2M,0.0020814404042229055
CXCL13,C7,-0.0007072054554161917
CXCL13,CD74,-0.000244442933272073
CXCL13,CDH1,-0.0026923753631632017
CXCL13,CDH11,-0.0030531711351874115
CXCL13,COL11A1,-0.0016366111899867274
CXCL13,COL5A1,-0.0003385421263731811
CXCL13,EGR1,4.444575742483355e-05
CXCL13,ERBB2,-0.0032682595124156103
CXCL13,FGFR1,0.0014243666197412085
CXCL13,HLA-B,-7.896138225651116e-05
CXCL13,IGF2R,-0.0003718144941796012
CXCL13,ITGA6,-0.0002124756511265481
CXCL13,ITGB8,-0.0007038731970399319
CXCL13,LTBP1,-0.00016332083922865795
CXCL13,MKI67,0.00363438929469457
CXCL13,MMP1,-0.002869451695126462
CXCL13,MMP7,-0.0009164638938987547
CXCL13,MYC,-0.0019156892671638595
CXCL13,NF1,-0.00241646284666546
CXCL13,PKM,0.00036654984098017713
CXCL13,RPL7A,0.0022834420360984004
CXCL13,S100A9,-0.0005413402039783933
CXCL13,SDHA,0.0028982863902343404
CXCL13,SPP1,-0.0007003599349651952
CXCL13,THBS1,0.0017415186256669862
CXCL13,UBB,-0.0012013247411724818
CXCL14,B2M,0.004235334539715285
CXCL14,THBS1,0.0019637192733937612
CXCL16,CD74,-4.64640571210268e-05
CXCL16,FGFR1,2.6169309731317552e-05
CXCL16,PKM,0.00565154790633814
CXCL16,SPP1,-0.0004440213187710957
CXCL16,THBS1,0.000227326877543953
CXCL16,VCAN,-0.000316861368032252
CXCL2,CD74,0.0001723657694903247
CXCL2,COL11A1,-0.002976876599021849
CXCL2,COL5A1,-0.00018379553278280683
